Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Comment
162,N0QVO,,+,147.87000,Tone,123.0,88.5,023,NN,FM,5,"Eldon",
163,WA0SMG,,+,147.87000,,88.5,88.5,023,NN,FM,5,"Kansas City",
164,KG0LF,,+,147.88500,,88.5,88.5,023,NN,FM,5,"Mountain Grove",
165,W0QEV,,+,147.88500,Tone,141.3,88.5,023,NN,FM,5,"St. Louis, Washington University",
166,K0SQS,,+,147.90000,,88.5,88.5,023,NN,FM,5,"Monett",
167,N0WNC,,+,147.90000,Tone,110.9,88.5,023,NN,FM,5,"Viburnum",
168,KD0CNC,,+,147.90000,,88.5,88.5,023,NN,FM,5,"Warsaw",
169,KC0MV,,+,147.91500,,88.5,88.5,023,NN,FM,5,"Fulton",
170,KM0HP,,+,147.93000,Tone,100.0,88.5,023,NN,FM,5,"Bloomfield",
171,WA0QFJ,,+,147.93000,,88.5,88.5,023,NN,FM,5,"Kansas City, NWS Central Region HQ",
172,AK0C,,+,147.93000,Tone,162.2,88.5,023,NN,FM,5,"Walnut Grove",
173,WA0EMA,,+,147.93000,Tone,123.0,88.5,023,NN,FM,5,"Warrenton, MSHP Tower West of Warrenton",
174,W0CIT,,+,147.94500,,88.5,88.5,023,NN,FM,5,"Brookfield",
175,KD0JOX,,+,147.94500,Tone,110.9,88.5,023,NN,FM,5,"Cuba",
176,K0EI,,+,147.94500,Tone,162.2,88.5,023,NN,FM,5,"Kimberling City",
177,W0BRC,,+,147.96000,,88.5,88.5,023,NN,FM,5,"Boonville",
178,K0DO,,+,147.96000,,88.5,88.5,023,NN,FM,5,"St. Louis, Red Cross - Lindbergh",
179,K0ESM,,+,147.97500,Tone,156.7,88.5,023,NN,FM,5,"Excelsior Springs",
180,KC0ROS,,+,147.97500,Tone,88.5,88.5,023,NN,FM,5,"Grove Springs",
181,N0QAQ,,+,147.97500,Tone,100.0,88.5,023,NN,FM,5,"Piedmont, Clark Mountain",
182,WB0JJJ,,+,147.99000,Tone,110.9,88.5,023,NN,FM,5,"Gainesville",
183,W0SLW,,+,147.99000,Tone,100.0,88.5,023,NN,FM,5,"St. Louis, Mercy Hospital",
184,KB0QWQ,,+,147.99000,,88.5,88.5,023,NN,FM,5,"Stover",
185,AD0JA,,split,,Tone,173.8,88.5,023,NN,FM,5,"Wright City",
